"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000095920",2.02536649013306,1.79957230830044,3.20302753831351,0.561834791232538,0.57422858547911,0.999947348795925
"ENSDARG00000045886",3722.59559903337,0.00076409428645894,0.103826748200741,0.00735932021083452,0.994128165028518,0.999947348795925
"ENSDARG00000045885",7425.33019273623,-0.104859639620869,0.0903078251036955,-1.16113569893268,0.245586719031315,0.999947348795925
"ENSDARG00000007413",7301.33719791165,-0.0731279921329284,0.0902665306055228,-0.810134073419836,0.417863122865912,0.999947348795925
"ENSDARG00000097341",32.2569852052307,0.474232422014614,0.818054188010453,0.579707834719324,0.562111659034601,0.999947348795925
"ENSDARG00000045880",186.152110741922,-0.211114250497926,0.337354455897205,-0.625793573517389,0.531450347586469,0.999947348795925
"ENSDARG00000009657",1061.0897809152,0.0102505094816899,0.156088200053836,0.0656712645680739,0.947639550564091,0.999947348795925
"ENSDARG00000093658",790.2013395125,0.0433412023382428,0.182314509155675,0.237727663799015,0.81209232605954,0.999947348795925
"ENSDARG00000026839",1267.67452918774,-0.239580157136584,0.159720750470853,-1.4999939358556,0.133615973371666,0.999947348795925
"ENSDARG00000016979",1200.88449048579,-0.0228616310307589,0.148242560106478,-0.154217729472144,0.877438063321808,0.999947348795925
"ENSDARG00000070477",6825.99962319081,0.0338415895846955,0.0917632883826371,0.368792249941849,0.712282581784648,0.999947348795925
"ENSDARG00000045878",2131.73182733287,-0.0985853116344149,0.146719097206732,-0.671932376297988,0.50162674785601,0.999947348795925
"ENSDARG00000045877",6193.50595757949,0.0125242073064621,0.0939940483105396,0.133244684440917,0.893999872810487,0.999947348795925
"ENSDARG00000079391",978.633849368909,0.0643947030383503,0.1726760235971,0.372922086673715,0.709206433096085,0.999947348795925
"ENSDARG00000015921",2330.40179348691,-0.087295587835087,0.124358386544677,-0.70196783876514,0.48269922047885,0.999947348795925
"ENSDARG00000099520",0.526895745548542,1.9578418326749,4.93321072937016,0.396869694014646,0.691463553506422,NA
"ENSDARG00000061544",34.8726219539441,-0.281711924066976,0.761917050344079,-0.369740936942881,0.711575526661253,0.999947348795925
"ENSDARG00000020812",56.9144543012423,0.345065707596183,0.628690622013082,0.548864092311851,0.583098721955462,0.999947348795925
"ENSDARG00000094007",3.0029310900032,-0.288247951162119,2.42322525946278,-0.118952189870298,0.90531323370837,0.999947348795925
"ENSDARG00000093685",0,NA,NA,NA,NA,NA
"ENSDARG00000059196",4.86364916385343,1.33819624014419,1.99647243793777,0.670280347835134,0.502679092442661,0.999947348795925
"ENSDARG00000009262",366.994467496178,0.102724426847499,0.245910566278927,0.417730837685854,0.676143923031576,0.999947348795925
"ENSDARG00000018618",14329.161268598,-0.0233443892342639,0.0868688935481755,-0.268731283210343,0.78813647649029,0.999947348795925
"ENSDARG00000045874",2050.62015653384,0.0102199037144338,0.123480087494406,0.0827656014974625,0.934037921280395,0.999947348795925
"ENSDARG00000057468",236.150636277693,0.0167495111583712,0.297675200100562,0.0562677413258234,0.955128516798319,0.999947348795925
"ENSDARG00000045873",537.91189998431,0.123615641392365,0.206436513995053,0.598807056949852,0.549301555857471,0.999947348795925
"ENSDARG00000079143",147.621352833258,-0.335135682363313,0.378211794958194,-0.886105845536514,0.375560493375802,0.999947348795925
"ENSDARG00000057714",70.7939144125626,-0.238982056537735,0.550217819785106,-0.434340815481172,0.664040968941878,0.999947348795925
"ENSDARG00000045224",16.4650302922634,-1.2122831919492,1.19941915638164,-1.01072522103647,0.312147962301865,0.999947348795925
"ENSDARG00000011246",3421.80284747697,0.0872439451062836,0.105883467582057,0.823961918688315,0.409961196155144,0.999947348795925
"ENSDARG00000053709",52.0108547219301,0.3455918598936,0.618085326065668,0.559132930874471,0.576071001779289,0.999947348795925
"ENSDARG00000099129",73.826523751685,0.470766896874047,0.547868810636681,0.859269386638319,0.390191909769002,0.999947348795925
"ENSDARG00000101813",6859.09818180963,0.00813814525500485,0.0913570241584912,0.0890806736533619,0.929017796515217,0.999947348795925
"ENSDARG00000039724",79.1010893407508,0.731472774937789,0.529429008486611,1.38162579536155,0.167086629355857,0.999947348795925
"ENSDARG00000070441",535.277912652953,0.125506699045538,0.207220699983747,0.605666803825011,0.544736031920697,0.999947348795925
"ENSDARG00000011961",238.151426563623,0.211944210012008,0.296355243924213,0.715169427088687,0.474504358027309,0.999947348795925
"ENSDARG00000008986",2625.79632734554,0.22352708160688,0.114670487035467,1.94929913865059,0.0512597113976346,0.999947348795925
"ENSDARG00000008235",1371.67016468122,-0.207647323806169,0.144240193246248,-1.43959404887702,0.149982284304918,0.999947348795925
"ENSDARG00000107595",0,NA,NA,NA,NA,NA
"ENSDARG00000004592",0,NA,NA,NA,NA,NA
"ENSDARG00000006567",452.291033324613,0.237326046567056,0.222005763864837,1.06900849075048,0.285065843479609,0.999947348795925
"ENSDARG00000016231",351.233079494722,-0.0599935009201589,0.251219035192499,-0.238809534771871,0.811253276443192,0.999947348795925
"ENSDARG00000016749",253.030321488456,0.0812519436294173,0.298110923948323,0.272556075950784,0.785194480197393,0.999947348795925
"ENSDARG00000004227",15.642355938052,0.240823087834103,1.11124967502579,0.216713753215284,0.828431429191804,0.999947348795925
"ENSDARG00000006038",3356.40507125861,-0.0263648192451518,0.106980316846376,-0.246445514673617,0.805337376825233,0.999947348795925
"ENSDARG00000045870",316.684352294689,-0.213445504452637,0.280374398235865,-0.761287427795303,0.446485408162809,0.999947348795925
"ENSDARG00000098551",2.22725029227506,-0.911863396053281,2.79168592458907,-0.326635381158612,0.743943679784022,0.999947348795925
"ENSDARG00000060248",10.9001439409547,-0.151907175987837,1.31260376690584,-0.115729651108592,0.907866805952798,0.999947348795925
"ENSDARG00000017757",9.68423280322527,-1.80624955607546,1.4393405386573,-1.2549146692974,0.209509738174729,0.999947348795925
"ENSDARG00000030598",50.3128849176873,0.109351611652409,0.649869809502661,0.168266951400765,0.866373272085052,0.999947348795925
"ENSDARG00000077356",1.02446584990772,0.0921915912505589,4.69149739308528,0.0196507817283323,0.984321953679102,NA
"ENSDARG00000097907",0.248785052179589,-1.20245343281504,4.96871680842897,-0.242004823212139,0.808776425919273,NA
"ENSDARG00000089860",24.5236193119167,-0.0720900325998959,0.890890428070195,-0.0809190786301902,0.935506307167135,0.999947348795925
"ENSDARG00000097073",30.7751763072432,0.775309636917666,0.805865517580226,0.962083151597911,0.336007836704974,0.999947348795925
"ENSDARG00000039843",1204.99793950081,0.0227378830510748,0.152551331782454,0.149050701723798,0.881513625570977,0.999947348795925
"ENSDARG00000077654",38.2610620935169,0.879982361172542,0.745337863409075,1.18064894375233,0.237742211766752,0.999947348795925
"ENSDARG00000112842",16.3660733843262,0.500836958339273,1.11222312645465,0.450302593451508,0.652492269237515,0.999947348795925
"ENSDARG00000070414",6.68751130833218,-0.386717477342182,1.67280378959147,-0.231179221226313,0.817175571870284,0.999947348795925
"ENSDARG00000033296",0.497570104359178,-1.77340000032701,4.93320745711089,-0.359482145388142,0.719234432310015,NA
"ENSDARG00000006283",2152.06116574476,0.0664930772043735,0.120831334294834,0.550296639463793,0.582115928813779,0.999947348795925
"ENSDARG00000045864",2.81378996462021,1.91843689066629,2.80484210681989,0.683973221166949,0.49399207573481,0.999947348795925
"ENSDARG00000045863",3.90880741640831,0.473698714987365,2.7170255670406,0.174344592385754,0.861594656182172,0.999947348795925
"ENSDARG00000093470",0,NA,NA,NA,NA,NA
"ENSDARG00000105162",1.74725579676411,-0.152330050892381,3.6769240540201,-0.0414286639197329,0.966954161904356,0.999947348795925
"ENSDARG00000107526",12.260711420074,0.505912597502807,1.24270333825366,0.40710649269982,0.683929774957096,0.999947348795925
"ENSDARG00000016691",6788.9827456795,0.0495228084899556,0.0919597054576531,0.538527263038707,0.590213088465383,0.999947348795925
"ENSDARG00000101363",2.90214634467599,-1.86024930397324,2.7659088689622,-0.672563483507402,0.501225039737828,0.999947348795925
"ENSDARG00000095042",1.98038538393114,-0.0875660299053438,2.92358975777803,-0.0299515449020779,0.976105697380577,0.999947348795925
"ENSDARG00000100963",9.37311103027148,-0.544384505517975,1.45670790740916,-0.373708759833806,0.708621007389461,0.999947348795925
"ENSDARG00000115613",9.37311103027148,-0.544384505517975,1.45670790740916,-0.373708759833806,0.708621007389461,0.999947348795925
"ENSDARG00000059043",5.94092698246624,-0.580610557649517,2.05917447180752,-0.281962779550128,0.777972050404518,0.999947348795925
"ENSDARG00000075281",129.266611749612,0.269104226455681,0.398045642424722,0.676063741877475,0.499000175870232,0.999947348795925
"ENSDARG00000023766",63.465699359435,0.190464391977574,0.582836902685828,0.326788491085373,0.743827864743437,0.999947348795925
"ENSDARG00000097286",4.47300369281613,0.023418597444427,1.99998059815031,0.0117094123143423,0.990657454192066,0.999947348795925
"ENSDARG00000039356",96.4984514088456,0.063418800291588,0.460425598814159,0.137739518512709,0.890446285797634,0.999947348795925
"ENSDARG00000059064",546.952675631507,-0.0173821417973258,0.203331192019221,-0.0854868435320179,0.931874354522223,0.999947348795925
"ENSDARG00000099725",6.19834727085176,-0.26141014396746,1.71227698346451,-0.15266814101451,0.878659985979227,0.999947348795925
"ENSDARG00000090401",1923.45629635334,0.307242399490908,0.131320995807346,2.33962891921447,0.0193029082815191,0.999947348795925
"ENSDARG00000063578",19.9507491981399,0.990928617312471,1.0254956929215,0.96629232492381,0.333897925493167,0.999947348795925
"ENSDARG00000106466",0,NA,NA,NA,NA,NA
"ENSDARG00000063563",1030.30149319518,0.187293418619695,0.160321453343157,1.16823678125476,0.242711267864305,0.999947348795925
"ENSDARG00000039350",1284.64188466442,-0.109688074664123,0.153311715656151,-0.715457877401442,0.474326160136286,0.999947348795925
"ENSDARG00000073963",7.29601035801163,-1.04083605762487,1.66595496067144,-0.624768425435328,0.532123056562327,0.999947348795925
"ENSDARG00000069607",0.526895745548542,1.9578418326749,4.93321072937016,0.396869694014646,0.691463553506422,NA
"ENSDARG00000059053",11898.0957939198,0.141888257444769,0.100805414863605,1.40754598983349,0.159265550040681,0.999947348795925
"ENSDARG00000092677",132.0778546453,0.0951785107682971,0.402830648883365,0.236274253292616,0.813219864296789,0.999947348795925
