"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000029936",46.7046901550468,0.504590804962539,0.524822686745356,0.961450062480561,0.33632592288131,0.677243499650621
"ENSDARG00000041589",0.281233295689787,0.867658078841598,4.89660017712577,0.177196023251974,0.85935441922415,NA
"ENSDARG00000041592",325.069684709377,-0.100282806439438,0.198110435649217,-0.506196486372901,0.612718721362388,0.859232278220192
"ENSDARG00000075108",157.378224807815,0.203418122591358,0.287488211396471,0.707570309068523,0.47921213635836,0.785295228390601
"ENSDARG00000016304",976.381435836243,-0.0296345731952006,0.119698812289231,-0.247576167452638,0.804462352361078,0.940581957958216
"ENSDARG00000058803",9.7958632890988,0.0782268672260807,1.23228010521031,0.0634814007751343,0.949383169399454,NA
"ENSDARG00000063385",4977.92777306958,0.0624917544118592,0.0624035185874328,1.00141395591825,0.316626719751932,0.659744855165483
"ENSDARG00000007804",277.380829172681,0.498920643798033,0.21643534425253,2.30517176166897,0.0211569557061371,0.126048698700839
"ENSDARG00000068261",1046.80007531088,-0.362551605951537,0.120854789969531,-2.99989438600606,0.00270073234199947,0.0263264537840836
"ENSDARG00000063371",361.726528958081,0.0121225655998398,0.18849123661445,0.0643136827874706,0.948720458721868,0.986683389093521
"Tx1-3_DR_dup1",4.27870707892182,-0.156121365674189,1.64651546121964,-0.0948192527500129,0.924458394287576,NA
"ENSDARG00000078751",991.26033328019,0.222867199125834,0.138680683322745,1.60705293474194,0.108042756543912,0.370770961921102
"EnSpm-N13_DR_dup19",7.61064398132187,0.419931372659427,1.27892042208641,0.328348320511105,0.742648312986366,NA
"DNA6-4_DR_dup6",7.75126062916677,0.463377170099565,1.2711033731649,0.364547195674424,0.71544943765969,NA
"Zisupton-7_DR_dup91",15.3705135319492,0.228829447613476,0.913055168515336,0.250619519503473,0.802108288884652,NA
"DNA-N24_DR_dup8",0,NA,NA,NA,NA,NA
"ENSDARG00000078878",0,NA,NA,NA,NA,NA
"ENSDARG00000016343",1.80305418985863,1.41078073202893,2.58849064330716,0.545020603291215,0.585739347408837,NA
"ENSDARG00000023678",378.345372196198,0.315104879576856,0.186975414426889,1.68527440114363,0.0919356422558465,0.337877700603584
"ENSDARG00000011299",4759.94457937358,-0.262539909156261,0.0686882227896594,-3.82219685549623,0.000132268030927572,0.00217659268714083
"ENSDARG00000041575",296.570755974907,-0.0640263175406522,0.23740751797423,-0.269689511465269,0.787399130304832,0.934767252545281
"ENSDARG00000058962",225.088011369319,-0.327253884184691,0.236541313355252,-1.38349567584078,0.16651293230026,0.474529057397377
"ENSDARG00000089799",5.90870010781929,0.483078095000019,1.43386976978622,0.336905139629273,0.736188410736552,NA
"ENSDARG00000075325",530.717526778657,0.282340216986489,0.161232556339504,1.75113651607664,0.0799223975437796,0.309456046095196
"ENSDARG00000041570",746.042809781352,0.134608251334187,0.140298665500674,0.959440710671198,0.337336774488656,0.678373750268533
"DNA2-3_DR_dup1",125.847457081005,0.0625264292656018,0.317611669310556,0.19686439544658,0.84393365671337,0.954251495060458
"ENSDARG00000113329",48.1007441496387,0.391291775385722,0.541379951797291,0.722767391157908,0.469822804409433,0.779089268365701
"ENSDARG00000081781",0,NA,NA,NA,NA,NA
"ENSDARG00000058996",13.1730073250102,1.32633400878617,1.08926264422599,1.21764389499342,0.223359326147187,NA
"ENSDARG00000014313",891.239446445284,0.00370784608832396,0.12711015735025,0.0291703367033607,0.976728739043555,0.994120513683805
"ENSDARG00000104279",4346.38051838007,-0.0495903300200175,0.0704792395333589,-0.703616133606913,0.481671861278747,0.787354360805617
